client_display_name,actor_id_count,actor_ids,client_race_id,client_race_name,client_race_block,likely_cause,ge_npc_page,ge_npc_zones
maelstrom archer,1,2289024,1890,,"named opponents of scripted fights - job-quest champions, coliseum challengers, Grand Company and bandit duel squads; 93 percent of its GE mobs are notorious monsters against a 12 percent baseline, and it sits past a deliberate gap from the 80x faction run",faction-filler,,
maelstrom brute,1,2289023,1890,,"named opponents of scripted fights - job-quest champions, coliseum challengers, Grand Company and bandit duel squads; 93 percent of its GE mobs are notorious monsters against a 12 percent baseline, and it sits past a deliberate gap from the 80x faction run",faction-filler,,
maelstrom marauder,1,2289022,1890,,"named opponents of scripted fights - job-quest champions, coliseum challengers, Grand Company and bandit duel squads; 93 percent of its GE mobs are notorious monsters against a 12 percent baseline, and it sits past a deliberate gap from the 80x faction run",faction-filler,,
magitek vanguard f-i,1,2209002,1090,キラーマシン(仮),,ge-gap,,
magitek vanguard h-i,6,2109002 2109004 2109005 2109006 2209004 2209005,1090,キラーマシン(仮),,ge-gap,,
marmot,2,2104025 2204020,1040,Rat,,ge-gap,,
maskmaker v'dhoramo,1,2289044,1890,,"named opponents of scripted fights - job-quest champions, coliseum challengers, Grand Company and bandit duel squads; 93 percent of its GE mobs are notorious monsters against a 12 percent baseline, and it sits past a deliberate gap from the 80x faction run",faction-filler,,
mathistien of the cloven hoof,1,2280111,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
mature funguar,1,2105916,1059,Funguar,,ge-gap,,
mature megalocrab,1,2207605,1076,Crab,,ge-gap,,
megalocrabs,2,2207607 2207608,1076,Crab,,ge-gap,,
merodaulyn,1,2290012,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Merodaulyn,
mesa basilisk,1,2200709,1007,Basilisk,,ge-gap,,
mesa bomb,1,2201609,1016,Bomb,,ge-gap,,
mesa djigga,1,2205614,1056,Chigoe,,ge-gap,,
mesa dodo,1,2202010,1020,Cockatrice,,ge-gap,,
mesa mongrel,1,2201426,1014,Wolf/Hyena/Hellhound,,ge-gap,,
midge swarm,2,2105309 2105315,1053,Swarm,,ge-gap,,
midnight creeper,1,2202713,1027,Flytrap,,ge-gap,,
militia barber,3,2290057 2290061 2290065,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Militia Barber (Hyrstmill),The Battle for Hyrstmill
militia cook,3,2290056 2290060 2290064,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Militia Cook (Hyrstmill),The Battle for Hyrstmill
militia front line archer,9,2290066 2290067 2290068 2290076 2290077 2290078 2290086 2290087,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Militia Front Line Archer (Hyrstmill),The Battle for Hyrstmill
militia outfitter,3,2290055 2290059 2290063,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Militia Outfitter (Hyrstmill),The Battle for Hyrstmill
militia second line archer,9,2290069 2290070 2290071 2290079 2290080 2290081 2290089 2290090,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Militia Second Line Archer (Hyrstmill),The Battle for Hyrstmill
militia smith,3,2290054 2290058 2290062,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Militia Smith (Hyrstmill),The Battle for Hyrstmill
militia third line archer,12,2290072 2290073 2290074 2290075 2290082 2290083 2290084 2290085,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Militia Third Line Archer (Hyrstmill),The Battle for Hyrstmill
minemite,1,2202106,1021,Coblyn,,ge-gap,,
miser's mistress,1,2301001,1010,Morbol,,ge-gap,,
missing miner,1,2290053,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,,
moco,1,2210503,1105,チョコボ,,mount-or-companion,,
moenskaet the honorbound,2,2289004 2289005,1890,,"named opponents of scripted fights - job-quest champions, coliseum challengers, Grand Company and bandit duel squads; 93 percent of its GE mobs are notorious monsters against a 12 percent baseline, and it sits past a deliberate gap from the 80x faction run",faction-filler,Moenskaet the Honorbound,
moenskaet's left hand,1,2280220,1802,,"pirates - buccaneers, Black Crow, Kraken, Mistbeard",faction-filler,,
moenskaet's right hand,1,2280219,1802,,"pirates - buccaneers, Black Crow, Kraken, Mistbeard",faction-filler,,
mole,2,2105718 2205709,1057,Hedgemole,,race-name-only,,
monolith,4,2209506 2209507 2209508 2209509,1095,Garuda,,ge-gap,,
moogle biter,1,2205604,1056,Chigoe,,ge-gap,,
morning creeper,1,2202707,1027,Flytrap,,ge-gap,,
morys,1,2290033,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Morys,Central Shroud
murble,1,2204403,1044,Phurble,,ge-gap,,
myrmidon marshal,1,2303006,1030,Antling,,ge-gap,,
myrmidon scavenger,1,2303007,1030,Antling,,ge-gap,,
nael deus darnus,4,2210902 2210906 2210909 2210911,1109,アニマオブジェクト,,ge-gap,,
nael van darnus,2,2210901 2210904,1109,アニマオブジェクト,,ge-gap,,
nannygoat,1,2102313,1023,Aldgoats,,ge-gap,,
natali xlotl the howler,1,2206402,1064,Ixal,,ge-gap,,
nazel xlotl the fleet,1,2206432,1064,Ixal,,ge-gap,,
nelly,1,2210508,1105,チョコボ,,mount-or-companion,Nelly,Western Thanalan
nenekko,1,2290035,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Nenekko,Ul'dah
newtstool,1,2105907,1059,Funguar,,ge-gap,,
niellefresne,2,2290003 2290013,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Niellefresne (1.x),Ul'dah
number 126,1,2108904,1089,Golem (1.2),,ge-gap,,
number 128,3,2108901 2108902 2108903,1089,Golem (1.2),,ge-gap,,
nunumo,1,2290020,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,,
nutkin,1,2104008,1040,Rat,,ge-gap,,
o'ghomoro hedgemole,1,2205705,1057,Hedgemole,,ge-gap,,
ochu,6,2101005 2101006 2101007 2101008 2101010 2201002,1010,Morbol,,ge-gap,,
ogre,4,2102505 2102506 2202501 2202502,1025,Ogre,,race-name-only,,
orchard chigoe,1,2205605,1056,Chigoe,,ge-gap,,
ornery karakul ram,2,2106013 2106014,1060,Sheep,,ge-gap,,
overweening thaumaturge,1,2289015,1890,,"named opponents of scripted fights - job-quest champions, coliseum challengers, Grand Company and bandit duel squads; 93 percent of its GE mobs are notorious monsters against a 12 percent baseline, and it sits past a deliberate gap from the 80x faction run",faction-filler,Overweening Thaumaturge,Ul'dah
papalymo,1,2290005,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Papalymo,
patch,1,2210514,1105,チョコボ,,mount-or-companion,Patch,North Shroud
peiste,4,2100718 2200703 2200704 2200706,1007,Basilisk,,ge-gap,,
petit pudding,6,2203407 2203408 2203409 2203410 2203411 2203412,1034,Flan,,ge-gap,,
pirate,2,2180213 2280221,1802,,"pirates - buccaneers, Black Crow, Kraken, Mistbeard",faction-filler,,
pit djigga,1,2205613,1056,Chigoe,,ge-gap,,
pit mite,1,2201110,1011,Crab,,ge-gap,,
plains highwayman,1,2180103,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
plains raider,1,2180105,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
plump orobon,1,2204504,1045,Angler,,ge-gap,,
porus,1,2202504,1025,Ogre,,named-boss-gap,,
posturing adventurer,2,2290027 2290031,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,,
powle,1,2290009,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Powle,Gridania
prickly roselet,1,2102707,1027,Flytrap,,ge-gap,,
princess pudding,1,2203406,1034,Flan,,ge-gap,,
pteroc,5,2100116 2100117 2100118 2200111 2200113,1001,Puk,,ge-gap,,
pure energy,2,2110003 2110004,1100,ウィル・オー・ウィスプ (仮),,ge-gap,,
purgatory knight,1,2301902,1019,Wight,,ge-gap,,
purgatory mage,1,2304303,1043,Ghost,,ge-gap,,
qiqirn,1,2206304,1063,Qiqirn,,race-name-only,,
qiqirn eggnapper,1,2106302,1063,Qiqirn,,ge-gap,,
quicksand basilisk,1,2300702,1007,Basilisk,,ge-gap,,
rabid wingrat,1,2204103,1041,Bat,,ge-gap,,
raging jackal,1,2101408,1014,Wolf/Hyena/Hellhound,,ge-gap,,
rampaging harrier,1,2180139,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
rat,2,2104023 2204018,1040,Rat,,race-name-only,,
ravaging harrier,3,2280151 2280152 2280153,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
ravenous harrier,2,2180137 2180138,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
restless raptor,1,2200207,1002,Raptor,,ge-gap,,
reymonde neverwake,1,2280218,1802,,"pirates - buccaneers, Black Crow, Kraken, Mistbeard",faction-filler,,
rhotano buccaneer,3,2180201 2180204 2180207,1802,,"pirates - buccaneers, Black Crow, Kraken, Mistbeard",faction-filler,,
river crab,1,2207602,1076,Crab,,ge-gap,,
roadside archer,1,2280179,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
roadside backstabber,1,2280183,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
roadside gladiator,1,2280177,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
roadside lancer,1,2280178,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
rockbite peiste,2,2200702 2200710,1007,Basilisk,,ge-gap,,
rotting noble,1,2201811,1018,Zombie,,ge-gap,,
rotting servant,1,2201810,1018,Zombie,,ge-gap,,
rowland of the 99 blades,1,2289030,1890,,"named opponents of scripted fights - job-quest champions, coliseum challengers, Grand Company and bandit duel squads; 93 percent of its GE mobs are notorious monsters against a 12 percent baseline, and it sits past a deliberate gap from the 80x faction run",faction-filler,,
ruffled dodo,1,2202012,1020,Cockatrice,,ge-gap,,
sabotender alegre,1,2200909,1009,Sabotender,,ge-gap,,
sabotender desertor,1,2300901,1009,Sabotender,,ge-gap,,
sagolii serpent,1,2100704,1007,Basilisk,,ge-gap,,
salty,1,2210516,1105,チョコボ,,mount-or-companion,Salty,Eastern Thanalan
sambar doe,1,2200306,1003,Antelope,,ge-gap,,
sanguinary buccaneer,2,2280201 2280202,1802,,"pirates - buccaneers, Black Crow, Kraken, Mistbeard",faction-filler,,
sansa,1,2290010,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Sansa,Gridania
satin plume,2,2209512 2209513,1095,Garuda,,ge-gap,,
scale slug,1,2304204,1042,Slug,,ge-gap,,
schorl doblyn,1,2302101,1021,Coblyn,,ge-gap,,
seagrot orobon,1,2104507,1045,Angler,,ge-gap,,
sentry hound,1,2101412,1014,Wolf/Hyena/Hellhound,,ge-gap,,
sephiroth dragon,1,2208102,1081,エリマキトカゲ (仮),,ge-gap,,
serpent patrol,1,2290050,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Serpent Patrol,North Shroud
sheep,2,2106018 2206015,1060,Sheep,,race-name-only,,
shrieker,6,2105909 2105914 2205903 2205904 2205906 2205908,1059,Funguar,,ge-gap,,
siege goobbue,1,2103307,1033,Goobbue,,ge-gap,,
sisipu,1,2290007,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Sisipu,Limsa Lominsa
siward,3,2289016 2289017 2289018,1890,,"named opponents of scripted fights - job-quest champions, coliseum challengers, Grand Company and bandit duel squads; 93 percent of its GE mobs are notorious monsters against a 12 percent baseline, and it sits past a deliberate gap from the 80x faction run",faction-filler,,
slug,2,2104213 2204209,1042,Slug,,race-name-only,,
slugger,1,2210517,1105,チョコボ,,mount-or-companion,Slugger,Eastern Thanalan
slumbering yarzon,1,2205513,1055,Yarzon,,ge-gap,,
sourleaf roselet,1,2202711,1027,Flytrap,,ge-gap,,
spotted eft,1,2201308,1013,Salamander,,ge-gap,,
squirrel,2,2104024 2204019,1040,Rat,,ge-gap,,
stag,3,2100311 2200307 2200309,1003,Antelope,,ge-gap,,
steamer,1,2210518,1105,チョコボ,,mount-or-companion,Steamer,Eastern Thanalan
steaming sheep,2,2206001 2206003,1060,Sheep,,ge-gap,,
sthalmann,2,2290002 2290038,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Sthalmann,Limsa Lominsa
stitch,1,2210515,1105,チョコボ,,mount-or-companion,Stitch,North Shroud
stonescale pteroc,1,2200114,1001,Puk,,ge-gap,,
stonespike tanadd gah,2,2206529 2206532,1065,Amlaj'aa,,ge-gap,,
storm scout,1,2290049,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,,
stormborn buccaneer,2,2280205 2280206,1802,,"pirates - buccaneers, Black Crow, Kraken, Mistbeard",faction-filler,,
stray ewe,1,2206005,1060,Sheep,,ge-gap,,
stray ram,1,2206006,1060,Sheep,,ge-gap,,
stray scholar,1,2290045,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,,
streaking spriggan,1,2106225,1062,Spriggan,,ge-gap,,
striped lightning tamer,1,2280194,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
striped lightning thug,1,2280195,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
suckling nannygoat,1,2202306,1023,Aldgoats,,ge-gap,,
suparna,1,2209514,1095,Garuda,,named-boss-gap,,
swinging swine,1,2201505,1015,Boar,,ge-gap,,
sylph,8,2106725 2106726 2106727 2106728 2106729 2106730 2106731 2206715,1067,Sylph,,race-name-only,,
sylph echo,6,2106707 2106708 2106709 2106710 2106711 2106712,1067,Sylph,,ge-gap,,
sylph whisper,6,2106701 2106702 2106703 2106704 2106705 2106706,1067,Sylph,,ge-gap,,
sylvan guardian,6,2106719 2106720 2106721 2106722 2106723 2106724,1067,Sylph,,ge-gap,,
synthetic bomb,2,2101613 2201610,1016,Bomb,,ge-gap,,
synthetic coblyn,1,2102129,1021,Coblyn,,ge-gap,,
t'gizzoh,1,2290043,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,,
t'kebbe,1,2290017,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,,
tar-stained buccaneer,2,2280209 2280210,1802,,"pirates - buccaneers, Black Crow, Kraken, Mistbeard",faction-filler,,
tender victual,1,2304203,1042,Slug,,ge-gap,,
territorial mole,1,2205711,1057,Hedgemole,,ge-gap,,
territorial revenant,1,2204316,1043,Ghost,,ge-gap,,
territorial slug,1,2204212,1042,Slug,,ge-gap,,
thancred,2,2290004 2290039,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Thancred,Ul'dah
thordan's bannerman,1,2104316,1043,Ghost,,ge-gap,,
thordan's outrider,1,2104317,1043,Ghost,,ge-gap,,
titan,2,2107401 2207401,1074,Titan,,race-name-only,,
toll puk,1,2100113,1001,Puk,,ge-gap,,
torama,2,2103202 2203202,1032,Couerl,,ge-gap,,
tower lemming,1,2204003,1040,Rat,,ge-gap,,
towering yarzon,4,2205508 2205510 2205511 2205512,1055,Yarzon,,ge-gap,,
treant,8,2102801 2102802 2102803 2102804 2202801 2202802 2202803 2202804,1028,Treant,,race-name-only,,
true longtail sebedd gah,1,2206543,1065,Amlaj'aa,,ge-gap,,
tunnel worm,9,2310601 2310602 2310603 2310604 2310605 2310606 2310607 2310608,1106,黒子,,ge-gap,,
u'ghamaro potman,1,2106648,1066,Kobold,,ge-gap,,
unchosen soul,2,2104319 2104320,1043,Ghost,,ge-gap,,
unruly raider,1,2280222,1802,,"pirates - buccaneers, Black Crow, Kraken, Mistbeard",faction-filler,,
unsavory character,3,2280174 2280175 2280176,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
vale banemite,1,2301111,1011,Crab,,ge-gap,,
vale eft,1,2301301,1013,Salamander,,ge-gap,,
vengeful soul,1,2104311,1043,Ghost,,ge-gap,,
viith legion pilus prior,1,2107004,1070,Imperial,,ge-gap,,
viith legion sagittarius,2,2180039 2280055,1800,,"Garlean imperial legion - 117 actors over one ladder of seven Roman line ranks in three tiers, deployed five times. `imperial` line at level 50-55 and `elite` line at 56 hold Castrum Novum, `VIIth Legion` line at 54-55 holds it and Mor Dhona, the `imperial` skirmish ranks hold East Shroud and the Dzemael Darkhold, and the `elite` skirmish ranks roam four field zones as the hamlet-invasion attackers populaceWaveAttack.csv calls imperial troopers. The tier and the rank family pick the deployment, not the id band",faction-filler,,
violet dewflower sylph,1,2206705,1067,Sylph,,ge-gap,,
vodyanoi,4,2103107 2103108 2103110 2203104,1031,Gigantoad,,ge-gap,,
voracious vulture,1,2201207,1012,Vulture,,ge-gap,,
w'mhelgo hena,2,2290097 2290098,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,W'mhelgo Hena,
wandering soul,1,2104327,1043,Ghost,,ge-gap,,
war hound,1,2201430,1014,Wolf/Hyena/Hellhound,,ge-gap,,
war pup,1,2201406,1014,Wolf/Hyena/Hellhound,,ge-gap,,
war wolf,1,2201405,1014,Wolf/Hyena/Hellhound,,ge-gap,War Wolf,"South Shroud, Western La Noscea, Eastern La Noscea"
weeping witch,1,2104318,1043,Ghost,,ge-gap,,
weevil,2,2103908 2203907,1039,Weevil,,race-name-only,,
westroad highwayman,1,2180104,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
wight,6,2101909 2201901 2201902 2201903 2201904 2201905,1019,Wight,,race-name-only,,
wild ram,2,2106007 2106008,1060,Sheep,,ge-gap,,
will-o-'the-wisp,1,2209903,1099,妖火 (仮),,ge-gap,,
will-o-the-wisp,1,2109905,1099,妖火 (仮),,ge-gap,,
witching harrier,3,2280154 2280155 2280156,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
wolf,4,2101414 2201410 2201411 2201418,1014,Wolf/Hyena/Hellhound,,race-name-only,,
woodsent doe,1,2200304,1003,Antelope,,ge-gap,,
woodsent elemental,2,2204605 2205202,1046,Fire Elemental,,ge-gap,,
woodsent pteroc,1,2200108,1001,Puk,,ge-gap,,
wounded rebel warrior,1,2290021,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,,
wybir,1,2290037,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Wybir,South Shroud
wyrmhound,2,2100707 2100708,1007,Basilisk,,ge-gap,,
wyvern,4,2103801 2103802 2203801 2203802,1038,Wyvern,,race-name-only,,
y'shtola,1,2290001,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Y'shtola,Limsa Lominsa
yarzon,5,2105514 2105515 2205514 2205515 2205516,1055,Yarzon,,race-name-only,,
yarzon lacerator,2,2105511 2105512,1055,Yarzon,,ge-gap,,
yarzon lurker,1,2105508,1055,Yarzon,,ge-gap,,
yda,2,2290006 2290040,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,Yda,Gridania
zalmoxes,1,2200109,1001,Puk,,ge-gap,,
zombie,2,2101817 2101818,1018,Zombie,,race-name-only,,
zu ga's cup bearer,1,2106649,1066,Kobold,,ge-gap,,
zu ga's pick bearer,1,2106660,1066,Kobold,,ge-gap,,
zu ga's sword bearer,1,2106654,1066,Kobold,,ge-gap,,
