mob_name,family,resolved_flags,resolved_from,mob_page_flags,family_page_flags,sighting_flags,ge_aggressive,flags_gloss
Drifting Dud,Bomb,"A, S",family-page,,"A, S",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Drifting Mine,Bomb,"A, S",family-page,,"A, S",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Drunken Dormouse,Rodent,P,family-page,,P,P,,passive - does not attack unless engaged
Drybone Shrew,Mole,P,family-page,,P,P,,passive - does not attack unless engaged
Dune Bogy,Ghost,,,,,,,
Dusty Devilet,Imp,A,sighting,,,A,A,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Dusty Mongrel,Wolf,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Dwarf Banemite,Diremite,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Dwarf Diremite,Diremite,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Earth Elemental,Elemental,"A, H",family-page,,"A, H",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Earthbound Wrath,Elemental,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Eftstool,Funguar,P,family-page,,P,A,Y,passive - does not attack unless engaged
Elder Longhorn,Aldgoat,P,family-page,,P,A,Y,passive - does not attack unless engaged
Elder Mosshorn,Aldgoat,P,family-page,,P,A,x,passive - does not attack unless engaged
Elite Bestiarius,Enemy Humanoid,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Elite Eques,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Elite Funditor,Enemy Humanoid,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Elite Hoplomachus,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Elite Laquearius,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Elite Medicus,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Elite Sagitarius,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Elite Secutor,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Elite Signifer,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Elite Speculator,Enemy Humanoid,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Elite Triarius,Enemy Humanoid,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Emerald Bee Swarm,Swarm,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Emerald Salamander,Salamander,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Emperor Apkallu,Apkallu,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Errant Soul,Ghost,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Errant Spirt,Ghost,,,,,,,
Escaped Goobbue,Goobbue,"A, H",family-page,,"A, H",,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Estinien Wyrmblood,Enemy Humanoid,"A, S",family-page,,"A, S",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Eurylochus,Boar,"A, TH",family-page,,"A, TH",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Evenfall Firefly,Firefly,,,,,,,
Evil Eye,Ahriman,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Eyetrap,Landtrap,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Fachan,Ahriman,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Faerie Funguar,Funguar,P,family-page,,P,,,passive - does not attack unless engaged
Fallen Archmage,Fomor,,,,,,,
Fallen Captain,Fomor,,,,,,,
Fallen Mage,Fomor,,,,,,,
Fallen Pikeman,Fomor,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Fallen Soldier,Fomor,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Fallen Wizard,Fomor,,,,,,,
Fallgourd Funguar,Funguar,P,family-page,,P,,,passive - does not attack unless engaged
Fat Dodo,Cockatrice,P,sighting,,,P,,passive - does not attack unless engaged
Fellbite Peiste,Basilisk,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Feral Dodo,Cockatrice,P,sighting,,,P,,passive - does not attack unless engaged
Feral Watchdog,Wolf,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Fevered Doe,Antelope,P,sighting,,,P,,passive - does not attack unless engaged
Figgy Pudding,Flan,"A, H",family-page,,"A, H",A,A,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Fire Bomb,Bomb,"A, S",family-page,,"A, S",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Fire Elemental,Elemental,"A, H",family-page,,"A, H",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Firebound Wrath,Elemental,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Firedrake,Drake,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Firefly,Firefly,,,,,,,
Firestarter Imp,Imp,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Flamedrake,Drake,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Flamefist Ahlygg Roh,Amalj'aa,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Floating Eye,Ahriman,P,mob-page,P,"A, S","A, P",,passive - does not attack unless engaged
Flytrap,Landtrap,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Foraging Doe,Antelope,,,,,,,
Forest Funguar,Funguar,P,family-page,,P,P,,passive - does not attack unless engaged
Forest Roseling,Landtrap,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Forsaken Soul,Ghost,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Frenzied Aurelia,Aurelia,"A, H",family-page,,"A, H",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Friar's Lantern,Wisp,A,sighting,,,A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Frightened Cactuar,Cactuar,P,family-page,,P,P,,passive - does not attack unless engaged
Frightened Lemur,Opo-opo,P,family-page,,P,P,,passive - does not attack unless engaged
Fumbling Funguar,Funguar,P,family-page,,P,,,passive - does not attack unless engaged
Furline Mosstrooper,Enemy Humanoid,"A, S",family-page,,"A, S",A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Furryfoot Kupli Kipp,Moogle,A,sighting,,,A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Gall Gnat,Gnat,"A, TH",family-page,,"A, TH",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Game Dodo,Cockatrice,P,sighting,,,P,,passive - does not attack unless engaged
Gaoler's Lantern,Wisp,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Garuda,Primal,A,sighting,,,A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Gas Bomb,Bomb,"A, S",family-page,,"A, S",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Ghost Slug,Slug,P,sighting,,,P,,passive - does not attack unless engaged
Giant Bat,Bat,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Giant Crab,Crab,"P, H",family-page,,"P, H",P,,passive - does not attack unless engaged; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement
Giant Gnat,Gnat,"A, TH",family-page,,"A, TH",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Giant Remora,Angler,"A, TH",family-page,,"A, TH",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Giant Slug,Slug,P,sighting,,,P,,passive - does not attack unless engaged
Gigantoad,Toad,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Gloom Lurker,Wisp,A,sighting,,,A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Gloom Seeker,Wisp,P,sighting,,,P,,passive - does not attack unless engaged
Glowfly,Firefly,,,,,,,
Gluttonous Gertrude,Cockatrice,P,sighting,,,P,x,passive - does not attack unless engaged
Goblin Bouncer,Goblin,P,family-page,,P,P,,passive - does not attack unless engaged
Goblin Braggadocio,Goblin,P,family-page,,P,,,passive - does not attack unless engaged
Goblin Freesword,Goblin,P,family-page,,P,,,passive - does not attack unless engaged
Goblin Headman,Goblin,"A, S",mob-page,"A, S",P,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Goblin Mugger,Goblin,P,family-page,,P,P,,passive - does not attack unless engaged
Goblin Thug,Goblin,P,family-page,,P,P,,passive - does not attack unless engaged
Goddess Girdle,Aurelia,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Godwin Goodgoat,Enemy Humanoid,"A, S",family-page,,"A, S",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Goobbue,Goobbue,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Gorgebug,Beetle,,,,,,,
Gorged Djigga,Chigoe,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Grass Raptor,Raptor,"A, S, L",family-page,,"A, S, L",,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight; links - helps other mobs of its own kind"
Gravid Crab,Crab,"P, H",family-page,,"P, H",A,Y,passive - does not attack unless engaged; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement
Great Buffalo,Buffalo,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Great Elm,Treant,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Great Oak,Treant,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Greater Buffalo,Buffalo,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Greedy Angler,Angler,"A, TH",family-page,,"A, TH",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Green Dewflower Sylph,Sylph,,,,,,,
Grenade,Bomb,"A, S",family-page,,"A, S",A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Greywine,Drake,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Gripper,Crab,"A, H",mob-page,"A, H","P, H",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Guano Gnat,Gnat,"A, TH",family-page,,"A, TH",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Guardian of the Grove,Treant,"A, H",family-page,,"A, H",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Guivre,Drake,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Hairless Hare,Slug,P,sighting,,,P,,passive - does not attack unless engaged
Haughtpox Bloatbelly,Goblin,"A, S",mob-page,"A, S",P,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Headrip Ogre,Ogre,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Headsman's Axe,Ixal,"A, S",family-page,,"A, S",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Hedgemole,Mole,P,family-page,,P,P,,passive - does not attack unless engaged
Heliodor Doblyn,Coblyn,P,family-page,,P,P,,passive - does not attack unless engaged
Hellbender,Salamander,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Hellsbound Warrior,Wight,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Hellsfire Hedgemole,Mole,P,family-page,,P,P,,passive - does not attack unless engaged
Hill Yarzon,Yarzon,"A, H",family-page,,"A, H","A, P",Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Hippocerf,Hippogryph,"A, TH",family-page,,"A, TH",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Hippogryph,Hippogryph,"A, TH",family-page,,"A, TH",A,A,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Hippogryph Pup,Hippogryph,"A, TH",family-page,,"A, TH",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Hispid Dormouse,Rodent,P,family-page,,P,P,,passive - does not attack unless engaged
Honeybee Swarm,Swarm,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Horde Mite,Diremite,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Hoverfly Swarm,Swarm,,,,,,x,
Hungry Dreadwolf,Wolf,,,,,,,
Hunter Kalong,Bat,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Ice Elemental,Elemental,"A, H",family-page,,"A, H",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Icebound Wrath,Elemental,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Ifrit,Primal,A,sighting,,,A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Ignis Fatuus,Bomb,"A, S",family-page,,"A, S",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Illtempered Pteroc.jpg,Puk,,,,,,,
Imperial Eques,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Imperial Hastatus,Enemy Humanoid,"A, S",family-page,,"A, S",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Imperial Hoplomachus,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Imperial Juggernaut,Juggernaut,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Imperial Laquearius,Enemy Humanoid,"A, S",family-page,,"A, S",,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Imperial Medicus,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Imperial Myrmillo,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Imperial Pilus Prior,Enemy Humanoid,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Imperial Primus Ordinarius,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Imperial Retiarius,Enemy Humanoid,"A, S",family-page,,"A, S",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Imperial Sagitarius,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Imperial Secutor,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Imperial Signifer,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Imperial Speculator,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Imperial Triarius,Enemy Humanoid,"A, S",family-page,,"A, S",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Imperial Veles,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Imperial War Hound,Wolf,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Imptrap,Landtrap,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Infernal Nail,Unknown,P,sighting,,,P,,passive - does not attack unless engaged
Inferno Drake,Drake,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Inland Angler,Angler,"A, TH",family-page,,"A, TH",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Iron Coblyn,Coblyn,P,family-page,,P,P,,passive - does not attack unless engaged
Ironshell,Crab,"A, H",mob-page,"A, H","P, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Island Crab,Crab,"P, H",family-page,,"P, H",P,,passive - does not attack unless engaged; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement
Ixali Boundwing,Ixal,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Ixali Bravewing,Ixal,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Ixali Bravo,Ixal,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Ixali Fearcaller,Ixal,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Ixali Fencer,Ixal,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Ixali Fogcaller,Ixal,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Ixali Sabreur,Ixal,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Ixali Scout,Ixal,"A, S",family-page,,"A, S",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Ixali Squire,Ixal,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Ixali Stillbeak,Ixal,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Ixali Strongbeak,Ixal,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
J'moldva (Mob),Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Jackal Pup,Wolf,A,sighting,,,A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Jackanapes,Opo-opo,P,family-page,,P,P,,passive - does not attack unless engaged
Jellyfish,Aurelia,"A, H",family-page,,"A, H",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Jenlyns Straightblade,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Jetsam Jelly,Aurelia,P,mob-page,P,"A, H",P,,passive - does not attack unless engaged
Jumping Djigga,Chigoe,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Kalong,Bat,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Karakul Ewe,Ram,P,sighting,,,P,,passive - does not attack unless engaged
Ked,Gnat,"A, TH",family-page,,"A, TH",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Kedtrap,Landtrap,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
King Apkallu,Apkallu,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Kobold Acolyte,Kobold,"A, S",family-page,,"A, S",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Kobold Almsman,Kobold,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Kobold Ascetic,Kobold,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Kobold Ashman,Kobold,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Kobold Bedesman,Kobold,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Kobold Footman,Kobold,"A, S",family-page,,"A, S",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Kobold Junkman,Kobold,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Kobold Kirkman,Kobold,"A, S",family-page,,"A, S",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Kobold Mendicant,Kobold,"A, S",family-page,,"A, S",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Kobold Packman,Kobold,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Kobold Patrolman,Kobold,"A, S",family-page,,"A, S",A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Kobold Pickman,Kobold,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Kobold Pitman,Kobold,"A, S",family-page,,"A, S",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Kobold Prelate,Kobold,"A, S",family-page,,"A, S",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Kobold Quarryman,Kobold,"A, S",family-page,,"A, S",A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Kobold Supplicant,Kobold,"A, S",family-page,,"A, S",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
